Unnamed: 0,text,labels
2144,متاسفم که می شنوم حال شما خوب نیستید.آیا اتفاق خاصی رخ داده است که باعث می شود شما اینگونه احساس کنید؟,0
2145,آیا اتفاق خاصی رخ داده است که باعث ناراحتی شما شده است؟با خیال راحت به من باز بگویید.,0
2146,متاسفم که این را شنیدمآیا یک چیز خاص وجود دارد که باعث این احساس شده است؟,0
2147,متشکرم.آیا اتفاق خاصی رخ داده است تا شما را ناراحت کند؟,0
2148,آیا اتفاقی افتاده است که این احساس را به وجود آورد؟,0
2149,خیلی متاسفم که این را می شنوم.آیا می توانید یک رویداد خاص را شناسایی کنید که باعث شده شما چنین احساسی داشته باشید؟,0
2150,آیا روحیه شما ناشی از هر چیز خاصی است؟,0
2151,من درک می کنم.آیا یک رویداد خاص برای تحقق این اتفاق رخ داده است؟,0
2152,متاسفم که این را شنیدمآیا می تواند به دلیل یک رویداد خاص باشد؟اگر چنین است ، امیدوارم که برای شما خیلی دشوار نبود.,0
2153,متاسفم که می شنوم احساس غم و اندوه می کنید.آیا می دانید چه چیزی منجر به چنین احساس غم انگیز شد ، آیا این یک رویداد خاص بود؟,0
2154,اگر به اشتراک گذاری ندارید ، آیا به دلیل یک حادثه خاص اینگونه احساس می کنید؟,0
2155,از شنیدن اینکه غمگین هستید بسیار متاسفم.آیا اتفاقی افتاده است که باعث ناراحتی شما شود؟,0
2156,آیا چیزی خاص این احساس را به همراه داشت؟,0
2157,آیا می توانید به من بگویید که آیا موقعیت های خاصی وجود دارد که باعث می شود شما از این طریق احساس کنید؟,0
2158,آیا اتفاق خاصی وجود داشت که باعث شد شما اینگونه احساس کنید؟,0
2159,متاسفم که می شنوم شما اینگونه احساس می کنید.آیا می توانید به من بگویید که آیا یک رویداد خاص ممکن است باعث آن شده باشد؟,0
2160,آیا اتفاق خاصی رخ داده است که منجر به این امر شد؟,0
2161,آیا در زندگی شخصی شما اتفاقی افتاده است تا این احساسات را ایجاد کند؟,0
2162,لطفاً به من بگویید ، آیا این ناشی از یک رویداد/S خاص بود؟,0
2163,آیا قبل از این احساس اتفاقی افتاده است؟,0
2164,برای اینکه سعی کنید احساس بهتری داشته باشید ، باید درک کنم که آیا اتفاقی افتاده است که باعث این امر شود.آیا یک رویداد خاص باعث غم و اندوه شما شده است؟,0
2165,اوه ، من از شنیدن این موضوع بسیار متاسفم.آیا یک وضعیت خاص باعث این امر شده است؟,0
2166,آیا اتفاقی افتاده است که شما را اینگونه احساس کند؟,0
2167,آیا چیز خاصی وجود داشت که فکر می کنید باعث شده این احساس را داشته باشید؟شما می توانید با من باز باشید.,0
2168,آیا می توانید به یاد داشته باشید که اگر چیزی باعث شده است اینگونه احساس کنید؟,0
2169,آیا می توانید به یک رویداد خاص فکر کنید که باعث شده شما احساس این راه را داشته باشید؟,0
2170,با عرض پوزش از شنیدن این موضوع ، من می توانم ارتباط برقرار کنم.آیا رویدادهایی وجود دارد که منجر به این امر می شود؟,0
2171,آیا چیزی به ویژه وجود داشت که باعث ناراحتی شما شد؟,0
2172,آیا اتفاق خاصی رخ داده است تا شما را اینگونه احساس کند؟,0
2173,آیا این احساس ناشی از یک رویداد خاص است؟,0
2174,آیا این به دلیل خاص است؟,0
2175,آیا می توانید به چیز خاصی فکر کنید که برای این امر اتفاق افتاده است؟,0
2176,از شنیدنش متأسفم.آیا می توانید به من بگویید که آیا ناشی از یک رویداد خاص یا رویدادهایی است که می توانید به اشتراک بگذارید؟,0
2177,آیا اتفاقی افتاده است که باعث این امر شده است؟,0
2178,آیا اتفاقی افتاده است که باعث احساس فعلی شما شده است؟,0
2179,آیا اتفاقی افتاده است که شما را اینگونه احساس کند؟,0
2180,خیلی متاسفم که این را می شنوم.آیا می توانید به هر چیز خاصی فکر کنید که باعث این اتفاق بیفتد؟,0
2181,آیا می توانید به من بگویید که آیا این ناشی از یک رویداد/S خاص بوده است؟,0
2182,متشکرم ، من می فهممآیا چیزی در این مورد باعث این امر شده است؟,0
2183,آیا اتفاقی افتاده است که شما را ناراحت کرده است؟,0
2184,آیا به ویژه چیزی وجود دارد که به نظر می رسد این احساس را ایجاد کرده است؟,0
2185,لطفاً به من بگویید که آیا این احساس ناشی از یک رویداد خاص است؟,0
2186,آیا به طور خاص چیزی وجود دارد که باعث شده است که شما چنین احساسی داشته باشید؟,0
2187,درباره ی آن قضیه متاسفم.آیا این ناشی از یک رویداد/S خاص بود؟,0
2188,متاسفم که چنین احساسی داری.آیا این ناشی از چیز خاصی بود؟,0
2189,آیا احساس می کنید که ممکن است احساسات فعلی شما ناشی از یک رویداد یا رویدادهای خاص باشد؟,0
2190,با تشکر از شما برای به اشتراک گذاشتن احساسات خود با من ، می فهمم که اکنون برخورد با آنها دشوار است.به طوری که من می توانم به شما بهتر کمک کنم ، می توانید به من بگویید که آیا یک رویداد خاص باعث شده است که شما اینگونه احساس کنید؟,0
2191,ممکن است بپرسم ، آیا چیزی خاص وجود دارد؟,0
2192,آیا این ممکن است با یک رویداد خاص ارتباط داشته باشد؟,0
2193,متشکرم که به من اطلاع دادید ، بسیار متاسفم که شما چنین احساسی دارید.آیا می توانم بپرسم که آیا چیز خاصی باعث این احساس شده است؟,0
2194,من می توانم با آن شناسایی کنم.حال ، آیا این احساسات نتیجه رویدادی است که اخیراً یا مدتها پیش اتفاق افتاده است؟,1
2195,آه ، من می بینمآیا می گویید این یک رویداد اخیر یا دور بود؟,1
2196,متشکرم ، من می فهممآیا می توانید به من بگویید که آیا این اتفاقی افتاده است که اخیراً یا چندی پیش اتفاق افتاده است؟امیدوارم از این رویداد زیاد رنج نبرید.,1
2197,آیا می توانید به من بگویید که آیا این رویداد یا وقایع اخیراً اتفاق افتاده است یا در گذشته؟,1
2198,شما باید همین الان صدمه دیده باشید.آیا می توانید به اشتراک بگذارید که آیا این رویداد اخیر بوده است یا بیشتر؟,1
2199,آیا این رویدادی بود که باعث غم و اندوه شما یک رویداد اخیر یا اتفاقی که چندی پیش افتاد؟,1
