Crop,Question,Answer,text,clean_text,Cluster
maize,"Apart from hand weeding, what other method used to weed maize",Machinery weeders are available,"Apart from hand weeding, what other method used to weed maize Machinery weeders are available",apart hand weeding method used weed maize machinery weeder available,4
beans,"Apart from insecticide, what other method used to control bean weevils?",Use resistant verities and increase on water availability for crop vigor,"Apart from insecticide, what other method used to control bean weevils? Use resistant verities and increase on water availability for crop vigor",apart insecticide method used control bean weevil use resistant verity increase water availability crop vigor,1
maize,Apart from sun drying which other method used for drying maize,Use tarpaulins or cemented floor free from dust,Apart from sun drying which other method used for drying maize Use tarpaulins or cemented floor free from dust,apart sun drying method used drying maize use tarpaulin cemented floor free dust,4
cassava,"Apart from sun drying, what other method can I use to dry cassava",Solar driers,"Apart from sun drying, what other method can I use to dry cassava Solar driers",apart sun drying method use dry cassava solar drier,4
beans,As a farmer when should I harvest beans.,When the beans pods are yellowish green or dry brown,As a farmer when should I harvest beans. When the beans pods are yellowish green or dry brown,farmer harvest bean bean pod yellowish green dry brown,3
general,As a farmer which method is good to prevent soil erosion,Farmers can terrace their gardens or mulch their gardens to stop erosion,As a farmer which method is good to prevent soil erosion Farmers can terrace their gardens or mulch their gardens to stop erosion,farmer method good prevent soil erosion farmer terrace garden mulch garden stop erosion,2
general,"As a farmer, How can I control pest",Spray some pests and if possible use resistant varieties,"As a farmer, How can I control pest Spray some pests and if possible use resistant varieties",farmer control pest spray pest possible use resistant variety,1
general,"As a farmer, how can I control pig weeds in the garden?",Weed when they are young and you can also spray them,"As a farmer, how can I control pig weeds in the garden? Weed when they are young and you can also spray them",farmer control pig weed garden weed young also spray,1
general,"As a farmer, how can I know the qualities of a good fertilizer?",Check if the chemical composition can sustain crop production well,"As a farmer, how can I know the qualities of a good fertilizer? Check if the chemical composition can sustain crop production well",farmer know quality good fertilizer check chemical composition sustain crop production well,4
maize,At what stage of maize growth should I apply the fertilizer,Apply around planting time in the soil and on the foliage at vegetative stage before flowering,At what stage of maize growth should I apply the fertilizer Apply around planting time in the soil and on the foliage at vegetative stage before flowering,stage maize growth apply fertilizer apply around planting time soil foliage vegetative stage flowering,4
beans,At what stage should I weed the beans?,It should be three weeks after planting,At what stage should I weed the beans? It should be three weeks after planting,stage weed bean three week planting,3
maize,At what time should I spray army worms in maize,Use cultural methods,At what time should I spray army worms in maize Use cultural methods,time spray army worm maize use cultural method,4
general,At what time should a farmer do watering crops.,In the evening,At what time should a farmer do watering crops. In the evening,time farmer watering crop evening,4
cassava,Brown streak is a disease but how better can prevent it?,Plant clean material,Brown streak is a disease but how better can prevent it? Plant clean material,brown streak disease better prevent plant clean material,0
